사이트,회사명,제목,링크
사람인,(주)지란지교에스앤씨,시스템취약점점검 솔루션 컨설턴트(엔지니어) 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53979748&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)하나금융티아이,[하나금융TI]취약점점검,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53964959&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,넷마블(주),취약점진단 및 모의해킹 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53914412&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)이글루코퍼레이션,[보안관제센터]취약점진단 및 모의해킹 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54028543&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)케이티알파,"정보보호(모의해킹/취약점진단, 침해사고대응)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54062336&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,에스케이쉴더스(주),취약점진단 경력직 채용(한국은행 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54014100&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,에스케이쉴더스(주),취약점진단 경력직 채용(세종),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998462&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)클라우드네트웍스,[클라우드네트웍스]취약점솔루션(Qualys) 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53697492&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,씨엠티정보통신(주),"CMT정보통신 26년 경력직 채용(EDR,취약점분석,SOAR)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53631658&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)에스케어,"IT보안 위협/취약점관리(CVE,CCE,Mitre ATTaCK) & N/W 엔지니어",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53988175&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
